time_us curve_nan curve_nan curve_nan curve_nan curve_nan
3.0263157895e+03 6.0833985784e-01 6.5079805923e-01 6.8937341891e-01 7.0004007082e-01 7.1924403720e-01
3.0451127820e+03 6.0562680194e-01 6.4831975729e-01 6.8705549185e-01 6.9786445421e-01 7.1717181407e-01
3.0639097744e+03 6.0291751779e-01 6.4584181165e-01 6.8473559789e-01 6.9568658682e-01 7.1509669367e-01
3.0827067669e+03 6.0021218294e-01 6.4336434901e-01 6.8241387425e-01 6.9350645811e-01 7.1301877404e-01
3.1015037594e+03 5.9751074713e-01 6.4088749521e-01 6.8009047784e-01 6.9132436616e-01 7.1093818925e-01
3.1203007519e+03 5.9481371556e-01 6.3841139163e-01 6.7776560073e-01 6.8914034129e-01 7.0885499131e-01
3.1390977444e+03 5.9212080513e-01 6.3593613599e-01 6.7543943294e-01 6.8695458245e-01 7.0676939895e-01
3.1578947368e+03 5.8943246759e-01 6.3346183073e-01 6.7311209162e-01 6.8476710814e-01 7.0468152939e-01
3.1766917293e+03 5.8674878785e-01 6.3098852826e-01 6.7078369476e-01 6.8257794616e-01 7.0259147098e-01
3.1954887218e+03 5.8406959074e-01 6.2851645507e-01 6.6845434837e-01 6.8038749756e-01 7.0049927052e-01
3.2142857143e+03 5.8139547649e-01 6.2604555144e-01 6.6612424843e-01 6.7819550180e-01 6.9840509636e-01
3.2330827068e+03 5.7872647192e-01 6.2357609020e-01 6.6379356080e-01 6.7600239277e-01 6.9630901419e-01
3.2518796992e+03 5.7606247098e-01 6.2110818476e-01 6.6146243530e-01 6.7380815471e-01 6.9421114768e-01
3.2706766917e+03 5.7340387666e-01 6.1864173718e-01 6.5913095071e-01 6.7161292412e-01 6.9211175726e-01
3.2894736842e+03 5.7075078879e-01 6.1617724435e-01 6.5679927082e-01 6.6941666731e-01 6.9001065372e-01
3.3082706767e+03 5.6810329247e-01 6.1371453200e-01 6.5446747106e-01 6.6721971300e-01 6.8790816786e-01
3.3270676692e+03 5.6546178103e-01 6.1125383080e-01 6.5213586092e-01 6.6502207253e-01 6.8580441535e-01
3.3458646617e+03 5.6282602988e-01 6.0879529011e-01 6.4980434683e-01 6.6282388140e-01 6.8369932701e-01
3.3646616541e+03 5.6019643142e-01 6.0633882436e-01 6.4747327387e-01 6.6062506450e-01 6.8159313053e-01
3.3834586466e+03 5.5757328891e-01 6.0388487771e-01 6.4514262996e-01 6.5842604552e-01 6.7948589567e-01
3.4022556391e+03 5.5495651377e-01 6.0143317562e-01 6.4281259774e-01 6.5622665109e-01 6.7737782590e-01
3.4210526316e+03 5.5234641156e-01 5.9898425375e-01 6.4048336358e-01 6.5402709475e-01 6.7526878399e-01
3.4398496241e+03 5.4974297129e-01 5.9653798393e-01 6.3815494874e-01 6.5182762120e-01 6.7315915904e-01
3.4586466165e+03 5.4714655427e-01 5.9409459828e-01 6.3582746050e-01 6.4962807072e-01 6.7104896338e-01
3.4774436090e+03 5.4455736264e-01 5.9165410068e-01 6.3350115722e-01 6.4742873880e-01 6.6893807858e-01
3.4962406015e+03 5.4197526616e-01 5.8921682459e-01 6.3117603569e-01 6.4522955762e-01 6.6682679674e-01
3.5150375940e+03 5.3940050251e-01 5.8678260049e-01 6.2885219866e-01 6.4303082397e-01 6.6471522262e-01
3.5338345865e+03 5.3683337512e-01 5.8435177205e-01 6.2652988465e-01 6.4083245842e-01 6.6260343702e-01
3.5526315789e+03 5.3427401425e-01 5.8192435973e-01 6.2420916057e-01 6.3863469279e-01 6.6049146629e-01
3.5714285714e+03 5.3172245466e-01 5.7950055293e-01 6.2189010841e-01 6.3643761235e-01 6.5837951164e-01
3.5902255639e+03 5.2917886538e-01 5.7708035060e-01 6.1957278576e-01 6.3424124614e-01 6.5626739894e-01
3.6090225564e+03 5.2664335557e-01 5.7466407977e-01 6.1725747888e-01 6.3204566466e-01 6.5415561517e-01
3.6278195489e+03 5.2411624128e-01 5.7225155152e-01 6.1494408852e-01 6.2985104636e-01 6.5204402503e-01
3.6466165414e+03 5.2159745595e-01 5.6984315601e-01 6.1263290039e-01 6.2765741964e-01 6.4993272860e-01
3.6654135338e+03 5.1908702307e-01 5.6743885806e-01 6.1032386781e-01 6.2546506039e-01 6.4782187613e-01
3.6842105263e+03 5.1658545879e-01 5.6503885795e-01 6.0801720029e-01 6.2327386026e-01 6.4571149981e-01
3.7030075188e+03 5.1409246016e-01 5.6264305575e-01 6.0571297897e-01 6.2108390133e-01 6.4360160088e-01
3.7218045113e+03 5.1160833080e-01 5.6025183808e-01 6.0341128882e-01 6.1889543252e-01 6.4149242277e-01
3.7406015038e+03 5.0913317711e-01 5.5786503093e-01 6.0111223710e-01 6.1670837472e-01 6.3938408043e-01
3.7593984962e+03 5.0666701513e-01 5.5548311283e-01 5.9881591477e-01 6.1452292150e-01 6.3727652950e-01
3.7781954887e+03 5.0421006171e-01 5.5310573871e-01 5.9652242607e-01 6.1233921103e-01 6.3516986537e-01
3.7969924812e+03 5.0176227046e-01 5.5073340397e-01 5.9423184087e-01 6.1015711410e-01 6.3306420853e-01
3.8157894737e+03 4.9932393549e-01 5.4836581749e-01 5.9194430269e-01 6.0797689820e-01 6.3095967418e-01
3.8345864662e+03 4.9689478562e-01 5.4600341601e-01 5.8965986380e-01 6.0579868883e-01 6.2885619269e-01
3.8533834586e+03 4.9447508772e-01 5.4364612212e-01 5.8737865420e-01 6.0362238364e-01 6.2675408791e-01
3.8721804511e+03 4.9206500719e-01 5.4129403153e-01 5.8510067488e-01 6.0144816773e-01 6.2465328564e-01
3.8909774436e+03 4.8966458990e-01 5.3894724093e-01 5.8282604659e-01 5.9927617477e-01 6.2255381509e-01
3.9097744361e+03 4.8727359104e-01 5.3660589148e-01 5.8055487189e-01 5.9710634515e-01 6.2045580586e-01
3.9285714286e+03 4.8489242687e-01 5.3426995600e-01 5.7828737512e-01 5.9493886513e-01 6.1835936468e-01
3.9473684211e+03 4.8252099446e-01 5.3193962922e-01 5.7602338973e-01 5.9277392611e-01 6.1626453853e-01
3.9661654135e+03 4.8015926092e-01 5.2961489112e-01 5.7376310648e-01 5.9061124147e-01 6.1417139693e-01
3.9849624060e+03 4.7780731892e-01 5.2729597015e-01 5.7150651441e-01 5.8845127598e-01 6.1207994801e-01
4.0037593985e+03 4.7546523766e-01 5.2498271479e-01 5.6925394789e-01 5.8629381770e-01 6.0999049441e-01
4.0225563910e+03 4.7313304450e-01 5.2267532319e-01 5.6700517307e-01 5.8413921654e-01 6.0790284421e-01
4.0413533835e+03 4.7081069295e-01 5.2037392870e-01 5.6476049943e-01 5.8198725955e-01 6.0581722731e-01
