time_us curve_1 curve_5 curve_10 curve_30 curve_70 curve_100 curve_1000
1.0526315789e+04 5.9552219477e-01 2.1347872502e-01 9.9692160663e-02 2.3356036066e-02 6.1068458720e-03 3.5684504211e-03 2.0788786758e-04
1.0601503759e+04 5.9228533883e-01 2.1057643265e-01 9.7992667396e-02 2.2864820999e-02 5.9817673516e-03 3.4955592012e-03 2.0484802373e-04
1.0676691729e+04 5.8905819683e-01 2.0771735567e-01 9.6327276660e-02 2.2386414699e-02 5.8603939457e-03 3.4246991144e-03 2.0186612877e-04
1.0751879699e+04 5.8584098864e-01 2.0490121469e-01 9.4695324089e-02 2.1920483486e-02 5.7426135821e-03 3.3557804532e-03 1.9894630506e-04
1.0827067669e+04 5.8263382405e-01 2.0212731950e-01 9.3095887396e-02 2.1466680123e-02 5.6282753457e-03 3.2888111509e-03 1.9608789744e-04
1.0902255639e+04 5.7943723840e-01 1.9939555379e-01 9.1528358196e-02 2.1024631739e-02 5.5172504881e-03 3.2237549209e-03 1.9328214262e-04
1.0977443609e+04 5.7625121644e-01 1.9670517903e-01 8.9992014550e-02 2.0593981305e-02 5.4094884431e-03 3.1604936897e-03 1.9053327736e-04
1.1052631579e+04 5.7307595334e-01 1.9405586663e-01 8.8485942696e-02 2.0174454738e-02 5.3048644391e-03 3.0990366703e-03 1.8783830250e-04
1.1127819549e+04 5.6991174545e-01 1.9144703044e-01 8.7009476411e-02 1.9765692070e-02 5.2032124404e-03 3.0393377740e-03 1.8520057503e-04
1.1203007519e+04 5.6675859541e-01 1.8887840687e-01 8.5561987460e-02 1.9367354522e-02 5.1044697028e-03 2.9813562107e-03 1.8261207304e-04
1.1278195489e+04 5.6361686993e-01 1.8634928560e-01 8.4142765573e-02 1.8979217430e-02 5.0085440030e-03 2.9250152149e-03 1.8007745960e-04
1.1353383459e+04 5.6048670698e-01 1.8385928781e-01 8.2751117541e-02 1.8601005529e-02 4.9152971288e-03 2.8703053639e-03 1.7759268687e-04
1.1428571429e+04 5.5736800586e-01 1.8140778920e-01 8.1386374070e-02 1.8232388922e-02 4.8246760240e-03 2.8171167925e-03 1.7515082799e-04
1.1503759398e+04 5.5426108685e-01 1.7899442652e-01 8.0047835829e-02 1.7873115400e-02 4.7365530640e-03 2.7654444641e-03 1.7276504017e-04
1.1578947368e+04 5.5116603267e-01 1.7661857114e-01 7.8735010659e-02 1.7523001988e-02 4.6508351176e-03 2.7152109845e-03 1.7041673139e-04
1.1654135338e+04 5.4808286951e-01 1.7427944990e-01 7.7447170853e-02 1.7181719503e-02 4.5674381918e-03 2.6663441399e-03 1.6812443861e-04
1.1729323308e+04 5.4501183171e-01 1.7197689079e-01 7.6183854239e-02 1.6849083721e-02 4.4862811368e-03 2.6188107162e-03 1.6587005959e-04
1.1804511278e+04 5.4195282147e-01 1.6971004639e-01 7.4944391262e-02 1.6524820687e-02 4.4072513620e-03 2.5725699325e-03 1.6366609969e-04
1.1879699248e+04 5.3890593632e-01 1.6747836548e-01 7.3728371031e-02 1.6208725580e-02 4.3303276261e-03 2.5275046343e-03 1.6150488625e-04
1.1954887218e+04 5.3587121344e-01 1.6528142770e-01 7.2535051249e-02 1.5900538643e-02 4.2553865679e-03 2.4836010822e-03 1.5938370691e-04
1.2030075188e+04 5.3284884882e-01 1.6311838072e-01 7.1364192214e-02 1.5600019398e-02 4.1823420519e-03 2.4408008384e-03 1.5731236647e-04
1.2105263158e+04 5.2983873138e-01 1.6098887148e-01 7.0215123177e-02 1.5307003831e-02 4.1111539862e-03 2.3990672078e-03 1.5529166814e-04
1.2180451128e+04 5.2684095116e-01 1.5889226798e-01 6.9087451715e-02 1.5021190066e-02 4.0417351132e-03 2.3583312136e-03 1.5328812402e-04
1.2255639098e+04 5.2385541458e-01 1.5682787785e-01 6.7980760770e-02 1.4742407383e-02 3.9740412114e-03 2.3185671876e-03 1.5134952971e-04
1.2330827068e+04 5.2088231053e-01 1.5479517636e-01 6.6894536323e-02 1.4470457103e-02 3.9080036072e-03 2.2797273984e-03 1.4941891716e-04
1.2406015038e+04 5.1792136192e-01 1.5279370659e-01 6.5828522069e-02 1.4205044756e-02 3.8435422709e-03 2.2417897091e-03 1.4755309903e-04
1.2481203008e+04 5.1497295590e-01 1.5082265693e-01 6.4782238994e-02 1.3946025252e-02 3.7806352523e-03 2.2047239988e-03 1.4573347357e-04
